python3: can't open file 'app.py': [Errno 2] No such file or directory
/home/aalw001/.local/lib/python3.5/site-packages/flask_sqlalchemy/__init__.py:794: FSADeprecationWarning: SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True or False to suppress this warning.
  'SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and '
 * Running on http://0.0.0.0:8000/ (Press CTRL+C to quit)
158.223.1.108 - - [13/Apr/2018 00:25:42] "GET /static/starter-template.css HTTP/1.1" 200 -
158.223.1.108 - - [13/Apr/2018 00:25:42] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:25:42] "GET /static/bootstrap.css HTTP/1.1" 200 -
158.223.1.108 - - [13/Apr/2018 00:25:42] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:26:00] "GET /login HTTP/1.1" 200 -
158.223.1.108 - - [13/Apr/2018 00:26:00] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:26:00] "GET /static/signin.css HTTP/1.1" 200 -
158.223.1.108 - - [13/Apr/2018 00:26:00] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:26:00] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:26:19] "GET /dashboard HTTP/1.1" 401 -
158.223.1.108 - - [13/Apr/2018 00:26:23] "GET /signup HTTP/1.1" 200 -
158.223.1.108 - - [13/Apr/2018 00:26:23] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:26:23] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:26:23] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:26:57] "POST /signup HTTP/1.1" 200 -
158.223.1.108 - - [13/Apr/2018 00:26:57] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:26:57] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:26:57] "GET //cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 404 -
158.223.1.108 - - [13/Apr/2018 00:27:06] "GET /dashboard HTTP/1.1" 200 -
